hale	 adj.  健壮的， 矍铄的
descry	 v.  看见， 察觉
appraise	 v.  评价， 鉴定
unwieldy	 adj.  难控制的； 笨重的
realm	 n.  王国； 领域， 范围
prompt	 v. 促进，激起 adj.  敏捷的， 迅速的
tendentious	 adj.  有偏见的
elaborate	 adj.  精致的， 复杂的 v.  详尽地说明， 阐明
untutored	 adj.  未受教育的
odoriferous	 adj.  有气味的
repose	 n&v.  休息， 安眠
tirade	 n.  长篇的攻击性演说
candor	 n.  坦白， 率直
flatulent	 adj.  自负的， 浮夸的
knead	 v.  揉成， 捏制
fatigue	 n.  疲乏， 劳累
numismatist	 n.  钱币学家， 钱币收藏家
torrential	 adj.  奔流的， 洪流的， 湍急的
warranty	 n.  保证， 担保； 根据， 理由； 授权， 批准
neurosis	 n.  神经官能症
costume	 n.  服装； 戏装
placebo	 n.  安慰剂； 起安慰作用的东西
vain	 adj.  自负的； 徒劳的
ordinary	 adj. 普通的，平常的；拙劣的，质量差的 n.  惯例， 寻常情况
economize	 v.  节约， 节省
verdict	 n.  裁定， 裁决
firearm	 n.  枪支
bacterium	 n.  细菌
cogitate	 v.  慎重思考， 思索
pursuit	 n.  追赶； 职业
stupor	 n.  昏迷， 恍惚
elate	 v.  使高兴， 使得意
extricable	 adj.  可解救的， 能脱险的
ruthless	 adj.  无情的； 残忍的
reverential	 adj.  表示尊敬的， 恭敬的
gaffe	 n.  失礼， 失态
simile	 n.  明喻 comparison of one thing with another)
ersatz	 adj.  代用的， 假的
composed	 adj.  镇定的， 沉着的； 由…组成的
inflammation	 n.  发炎； 炎症
incogitant	 adj.  未经思考的， 考虑不周的
fissure	 n.  裂缝， 裂隙
dissolve	 v.  溶解
prejudice	 v.  使产生偏见 n. 偏见，成见
levee	 n.  堤岸， 防洪堤
fanatic	 adj. 狂热的，盲信的 n.  狂热者
penal	 adj.  惩罚的， 刑罚的
cyclical	 adj.  循环的
unsound	 adj.  不健康的， 不健全的； 不结实的， 不坚固的； 无根据的
affordable	 adj.  负担得起的
predominate	 v.  统治； 占优势， 以…为主
expressly	 adv.  清楚地； 特意地
deceit	 n.  欺骗， 欺诈， 诡计
vogue	 n.  时尚， 流行
condescend	 v.  屈尊， 俯就
transitory	 adj.  短暂的
disburse	 v.  支付， 支出
debatable	 adj.  未决定的， 有争执的
lucre	 n.  〈贬〉钱， 利益
diffuse	 v. 散布，漫射 adj.  漫射的， 散漫的
scramble	 v.  攀登； 搅乱， 使混杂； 争夺
adumbrate	 v.  预示
plaza	 n.  广场； 集市
timbre	 n.  音色， 音质
sift	 v.  筛选， 过滤
split	 v. 破裂，裂开 n.  裂开， 裂口
immerse	 v.  浸入； 沉浸于
lust	 n.  强烈的欲望
coercive	 adj.  强制的， 强迫性的
sardonic	 adj.  讽刺的， 嘲笑的
depreciate	 v.  轻视； 贬值
superstructure	 n.  上层建筑； 上层构造
unwonted	 adj.  不寻常的， 不习惯的
peripheral	 adj.  周边的， 外围的
obliging	 adj.  乐于助人的
sordid	 adj.  卑鄙的； 肮脏的
preserve	 v.  保护； 保存
unfasten	 v.  解开
luminary	 n.  杰出人物， 名人
deter	 v.  威慑， 吓住； 阻止
lurk	 v.  潜伏， 埋伏
proclaim	 v.  宣告， 公布； 显示， 表明
confide	 v.  吐露； 倾诉
jolt	 v. 颠簸 n.  震动， 摇晃
jeopardize	 v.  危及， 危害
predominant	 adj.  支配的， 占优势的， 主导的
recipe	 n.  食谱
apportion	 v.  分配
zesty	 adj.  兴致很高的， 热望的
autobiography	 n.  自传
pseudonym	 n.  假名， 笔名
parable	 n.  寓言
astounding	 adj.  令人震惊的
viable	 adj.  切实可行的； 能活下去的
sentry	 n.  哨兵， 步兵
console	 v.  安慰， 抚慰
auspicious	 adj.  幸运的； 吉兆的
control	 n.  对照标准， 对照物
pitfall	 n.  陷阱， 隐患
hilarity	 n.  欢闹， 狂欢
conjure	 v.  召唤， 想起； 变魔术， 变戏法
acknowledge	 v.  承认； 致谢
ameliorate	 v.  改善， 改良
decrepit	 adj.  衰老的， 破旧的
descriptive	 adj.  描述的
overthrow	 v. 推翻；终止 n.  推翻； 终止
hereditary	 adj.  祖传的， 世袭的； 遗传的
matte	 adj.  无光泽的
inflict	 v.  使遭受
worthwhile	 adj.  值得做的
stumble	 v.  绊倒
cunning	 adj. 狡猾的，奸诈的；灵巧的，精巧的 n.  狡猾， 奸诈
preamble	 n.  前言， 序言； 先兆
ensnare	 v.  诱入陷阱， 进入罗网
factitious	 adj.  人为的， 不真实的
anneal	 v.  使退火； 使加强， 使变硬
underhanded	 adj.  秘密的， 狡诈的
musket	 n.  旧式步枪， 毛瑟枪
precept	 n.  箴言， 格言； 规则
episode	 n.  一段情节； 插曲， 片断
decency	 n.  正派， 端庄体面
transgress	 v.  冒犯， 违背
objective	 adj. 客观的 n.  目标
environ	 v.  包围， 围绕
victimize	 v.  使受害， 欺骗
exert	 v.  运用， 行使， 施加
insolent	 adj.  粗野的， 无礼的
self-sacrifice	 n.  自我牺牲
hinder	 v.  阻碍， 妨碍
adjunct	 n.  附加物， 附件
sportive	 adj.  嬉戏的， 欢闹的
sycophant	 n.  马屁精
subtract	 v.  减去， 减掉
lusty	 adj.  流满活力的， 精力充沛的
hike	 v. 抬高，提高 n.  徒步旅行
swathe	 v.  包， 绑， 裹
zigzag	 v.  弯弯曲曲地行进
badge	 n.  徽章
mystic	 adj. 神秘的；谜样的，难解的 n.  神秘主义者
affront	 v.  侮辱， 冒犯
underwater	 adj.  在水下的， 在水中的
intruding	 adj.  入侵的， 入侵性的
undirected	 adj.  未受指导的
primitive	 adj.  原始的， 远古的； 基本的
ken	 n.  视野； 知识范围
audit	 v.  旁听 without working for or expecting to receive formal credit)； 审计， 查账(to examine and check account)
herbivorous	 adj.  食草的
lymphatic	 adj.  无力的； 迟缓的； 淋巴的
untrustworthy	 adj.  不能信赖的， 靠不住的
fancied	 adj.  空想的， 虚构的
jaunt	 v. 短途旅游 n.  短途旅行
headway	 n.  进步， 进展
leisureliness	 n.  悠然， 从容
josh	 v.  戏弄， 戏耍
raisin	 n.  葡萄干
quell	 v.  制止， 镇压
understate	 v.  保守地说， 轻描淡写地说
misanthrope	 n.  厌恶人类者
expeditious	 adj.  迅速的， 敏捷的
censorious	 adj.  挑剔的
prescient	 adj.  有先见的， 预知的
appoint	 v.  任命， 指定； 约定
mortality	 n.  死亡率
somnolent	 adj.  想睡的； 催眠的
regurgitate	 v.  涌回， 流回； 反胃， 反刍
intervene	 v.  干涉， 介入
inflamed	 adj.  发炎的， 红肿的
ignite	 v.  发光； 点燃， 燃烧
revelation	 n.  显示； 揭露的事实
confine	 v.  限制， 禁闭
posthumous	 adj.  死后的， 身后的
horizontal	 adj.  水平的
consort	 v.  陪伴； 结交 n.  配偶
dynamic	 adj.  动态的； 有活力的
gracile	 adj.  细弱的， 纤细优美的
striated	 adj.  有条纹的
parch	 v.  烘烤； 烤焦
preservative	 adj. 保护的；防腐的 n.  防腐剂
despoil	 v.  夺取， 抢夺
query	 v. 质疑，疑问，询问 n.  问题， 疑问
dismal	 adj.  沮丧的， 阴沉的
disheveled	 adj.  不整的， 凌乱的
colloquy	 n.  交谈， 会谈
discord	 n.  不和， 纷争
dismay	 v.  使气馁 n. 沮丧，气馁
altruism	 n.  利他主义； 无私
expend	 v.  花费； 用光
flammable	 adj.  易燃的
recklessness	 n.  鲁莽， 轻率
demonstrate	 v.  证明， 论证； 示威
sublime	 adj. 崇高的 v.  使崇高
raciness	 n.  生动活泼
doleful	 adj.  悲哀的， 忧郁的
pending	 adj.  即将发生的； 未决的
decompose	 v.  腐烂
vitiate	 v.  削弱， 损害
infantry	 n.  步兵
inventory	 n.  详细目录； 存货清单
ambidextrous	 adj.  十分灵巧的
saunter	 n&v.  闲逛， 漫步
austere	 adj.  朴素的
vivid	 adj.  鲜艳的； 生动的； 逼真的
kin	 n.  亲属
infraction	 n.  违反， 违犯
shoddy	 adj.  劣质的， 假冒的
defecate	 v.  澄清； 净化
swarthy	 adj.  黝黑的
anonymity	 n.  无名， 匿名
assent	 v.  同意， 赞成
virtue	 n.  美德； 优点； 潜能
adulate	 v.  谄媚， 奉承
serrated	 adj.  锯齿状的
prestigious	 adj.  有名望的， 有威望的
compulsion	 n.  强迫； 冲动
perishable	 adj. 易腐烂的，易变质的 n.  易腐烂的东西
corrupt	 adj. 腐败的，堕落的；讹误的，走样的containingerrorsorchanges) v.  使腐败， 使堕落
preclude	 v.  预防， 排除； 阻止 from a given condition or activity)
fleece	 v.  骗取， 欺诈 n. 生羊皮，羊毛
transmit	 v.  传送， 传播
commemorate	 v.  纪念； 庆祝
emend	 v.  订正， 校订
noncommittal	 adj.  态度暧昧的； 不承担义务的
bluff	 n.  虚张声势； 悬崖峭壁
compromise	 v.  妥协； 危害
gullible	 adj.  易受骗的
fringe	 n.  须边； 边缘
hesitant	 adj.  犹豫的
extemporize	 v.  即兴演说
halfhearted	 adj.  不认真的， 不热心的
folklore	 n.  民间传说； 民俗学
justify	 v.  证明…是正当或合理的
sight	 v.  看到 n. 景象；视力；视野
slippage	 n.  滑动， 下降
simulate	 v.  假装， 模仿
moldy	 adj.  发霉的
putrefy	 v.  使腐烂
pillage	 v.  抢夺 n. 抢劫，掠夺
jeopardy	 n.  危险
intact	 adj.  完整的， 完好无缺的
juvenile	 adj.  青少年的； 孩子气的， 幼稚的
conversant	 adj.  精通的， 熟悉的
hive	 n.  蜂房， 蜂巢； 热闹的场所
spasmodic	 adj.  痉挛的； 间歇性的
trudge	 v.  跋涉
aspersion	 n.  诽谤， 中伤
unison	 n.  齐奏， 齐唱； 一致， 协调
complacency	 n.  满足， 安心
wean	 v.  断奶； 戒掉
leak	 v. 泄漏 n.  泄漏； 漏出量； 裂缝， 漏洞
reconnoiter	 v.  侦察， 勘察
complacence	 n.  自满
lean	 v. 倾斜；斜靠 adj.  瘦的
assert	 v.  断言， 主张
objection	 n.  厌恶， 反对
picturesque	 adj.  如画的； 独特的， 别具风格的
coddle	 v.  溺爱； 悉心照料
informed	 adj.  有学识的； 见多识广的， 消息灵通的
dispute	 v.  争论
rugged	 adj.  高低不平的； 崎岖的
assess	 v.  评定， 核定； 估计， 估价
riotous	 adj.  暴乱的， 狂乱的
apprehensive	 adj.  害怕的； 敏悟的
parochial	 adj.  教区的； 地方性的， 狭小的
debrief	 v.  盘问， 听取报告
ensign	 n.  舰旗
queue	 v. 排队 n.  长队
informer	 n.  告发者， 告密者
sanitize	 v.  使清洁
filibuster	 v. 妨碍议事，阻挠议案通过 n.  阻挠议事的人或行动
easel	 n.  黑板架， 画架
adequate	 adj.  足够的
calumny	 n.  诽谤， 中伤
transferable	 adj.  可转移的
plait	 v.  编成辫 n. 发辫
bustle	 v. 奔忙，忙乱 n.  喧闹， 熙熙攘攘
impecunious	 adj.  不名一文的， 没钱的
aver	 v.  极力声明； 断言； 证实
substantiate	 v.  证实， 确证
divert	 v.  转移， 转向； 使娱乐
plain	 adj. 简单的；清楚的；不漂亮的，不好看的 n.  平原
raucous	 adj.  刺耳的， 沙哑的； 喧嚣的
individual	 adj. 单独的，单个的；特有的；个人的，个体的 n.  个人， 个体
cadence	 n.  抑扬顿挫； 节奏， 韵律
blueprint	 n.  蓝图； 方案
declaim	 v.  高谈阔论
testimony	 n.  证据， 证词
retaliation	 n.  报复
glitter	 v. 闪烁，闪耀 n.  灿烂的光华； 诱惑力， 魅力
mutinous	 adj.  叛变的； 反抗的
secretive	 adj.  守口如瓶的
ferocious	 adj.  凶猛的， 残暴的
obtainable	 adj.  能得到的
emphatic	 adj.  重视的， 强调的
enjoin	 v.  命令， 吩咐
hoist	 v. 提起，升起 n.  起重机
overemphasize	 v.  过分强调
leer	 v.  斜视， 送秋波
ready	 adj.  敏捷的， 迅速的
euphemistic	 adj.  委婉的
unconscious	 adj.  不省人事的； 未发觉的， 无意识的
unprovoked	 adj.  无缘无故的
luxurious	 adj.  奢侈的， 豪华的
berserk	 adj.  狂怒的， 狂暴的
studied	 adj.  深思熟虑的； 认真习得的
enervate	 v.  使虚弱， 使无力
protuberance	 n.  突起， 突出
informal	 adj.  随便的， 日常的； 不拘礼节的， 非正式的
debonair	 adj.  美丽的； 温雅的
recline	 v.  斜倚， 躺卧
crusade	 n.  为维护理想、 原则而进行的运动或斗争
self-realization	 n.  自我实现， 自我完成
mince	 v.  切碎； 装腔作势地小步走
tinkle	 v.  发出叮当声
vagrancy	 n.  漂泊， 流浪
unimpressed	 adj.  没有印象的
discourage	 v.  使气馁， 使沮丧； 阻碍
rhapsodic	 adj.  狂热的， 狂喜的； 狂想曲的
oversee	 v.  监督
licit	 adj.  合法的
reproach	 n.  谴责， 责骂
warrant	 v.  保证； 批准 n. 正当理由；许可证
contemplative	 adj. 沉思的 n.  沉思者
overrate	 v.  对…估价过高， 对…评价过高
opulent	 adj.  富裕的； 充足的
ulcerate	 v.  溃烂
narrative	 adj.  叙述性的
circular	 adj.  圆形的； 循环的
corporeal	 adj.  肉体的， 身体的； 物质的
irritable	 adj.  易怒的， 急躁的； 易受刺激的
temper	 v. 锻炼；调和，使缓和 n.  脾气， 性情
munificence	 n.  慷慨给予， 宽宏大量
rejoice	 v.  欣喜， 高兴
frantic	 adj.  疯狂的， 狂乱的
avid	 adj.  渴望的； 热心的
ennoble	 v.  授予爵位， 使高贵
cardiac	 adj.  心脏的
accessible	 adj.  易接近的； 易受影响的
particularity	 n.  独特性
throe	 n. 剧痛；
notable	 adj.  值得注意的， 显著的
unparalleled	 adj.  无比的， 空前的
orotund	 adj.  洪亮的 strong and deep； resonant)； 夸张的(bombastic or pompous)
plush	 adj.  豪华的
disgruntled	 adj.  不悦的， 不满意的
brattish	 adj.  讨厌的， 被宠坏的， 无礼的 ill-mannered; annoying)
semimolten	 adj.  半熔化的
resigned	 adj.  顺从的， 听从的
glucose	 n.  葡萄糖
provocative	 adj.  挑衅的， 煽动的
address	 v.  处理， 对付， 设法解决； 致辞
impassioned	 adj.  充满激情的， 慷慨激昂的
troll	 v.  用曳绳钓； 拖钓； 兴高采烈地唱
ramble	 v.  漫步 n. 漫步
vocation	 n.  天职， 神召； 职业， 行业； 禀性， 才能
preponderant	 adj.  占优势的， 突出的， 压倒性的
stature	 n.  身高， 身材
quarantine	 n.  隔离检疫期， 隔离
simonize	 v.  给…打蜡， 把…擦亮
brevity	 n.  短暂
illegitimate	 adj.  不合法的； 私生的
exorbitant	 adj.  过分的， 过度的
reimburse	 v.  偿还
dither	 v. 慌张；犹豫不决 n.  紧张； 慌乱
confront	 v.  面临； 对抗
onus	 n.  义务， 负担
thousandfold	 adv.  千倍地 adj. 千倍的
provocation	 n.  挑衅， 激怒
illiterate	 adj.  文盲的
bondage	 n.  奴役， 束缚
pervade	 v.  弥漫， 遍及
implement	 v.  实现， 实施 n.  工具， 器具
justifiable	 adj.  有理由的， 无可非议的
incinerate	 v.  焚化， 焚毁
sagacious	 adj.  聪明的， 睿智的
beset	 v.  镶嵌； 困扰
foyer	 n.  门厅， 休息室
beacon	 n.  烽火； 灯塔
sparse	 adj.  稀少的， 贫乏的； 稀疏的
pragmatic	 adj.  实际的； 务实的， 注重实效的； 实用主义的
incision	 n.  切口； 切割
frigidity	 n.  寒冷； 冷淡
tasteless	 adj.  没味道的
underplay	 v.  弱化…的重要性； 表演不充分
emancipate	 v.  解放， 释放
envisage	 v.  正视； 想象
elliptical	 adj.  椭圆的； 晦涩的； 省略的
hunch	 n.  直觉， 预感
preponderate	 v.  超过， 胜过
pilot	 n.  飞行员； 领航员
citation	 n.  引证； 引文； 传票
snide	 adj.  挖苦的， 讽刺的
concentrate	 v.  聚集， 浓缩
versatile	 adj.  多才多艺的； 多用途的
avow	 v.  承认； 公开宣称
weld	 v.  焊接， 熔接； 锻接
aggrieve	 v.  使受委屈， 使痛苦
peachy	 adj.  极好的， 漂亮的
peckish	 adj.  饿的； 急躁的
imperturbable	 adj.  冷静的， 沉着的
prognosticate	 v.  预言， 预示
refractory	 adj.  倔强的， 难管理的； 难治的
irrelevant	 adj.  不相关的； 不切题的
observance	 n.  遵守， 奉行
gadget	 n.  小工具， 小机械
hilarious	 adj.  欢闹的； 引起大笑的
resentful	 adj.  忿恨的， 怨恨的
belongings	 n.  所有物， 财产
implication	 n.  暗示
flout	 v.  蔑视； 违抗
wastrel	 n.  挥霍无度的人
cordial	 adj. 热诚的 n.  兴奋剂
modulate	 v.  调整， 调节； 调音
aghast	 adj.  惊骇的， 吓呆的
inter	 v.  埋葬
distant	 adj.  疏远的， 冷淡的
destine	 v.  命运注定， 预定
gaiety	 n.  欢乐， 快活
wend	 v.  行， 走， 前进
fermentation	 n.  发酵
razor	 n.  剃刀， 刮胡刀
unidimensional	 adj.  一维的
huckster	 n.  叫卖小贩， 零售商
penicillin	 n.  青霉素
averse	 adj.  反对的， 不愿意的
irony	 n.  反话； 讽刺意味； 出乎意料的结果
caterpillar	 n.  毛毛虫， 蝴蝶的幼虫
exactitude	 n.  正确， 精确， 严格
spout	 v.  喷出； 滔滔不绝地讲
recumbent	 adj.  斜靠的； 休息的
reminder	 n.  提醒物， 纪念品
contented	 adj.  心满意足的
fatuity	 n.  愚蠢， 愚昧
hydrate	 v.  水合 n. 水合物
snipe	 v.  狙击
nautical	 adj.  船员的， 船舶的， 航海的
allergic	 adj.  过敏的； 对…讨厌的
underrate	 v.  低估， 轻视
unreasonable	 adj.  不讲道理的； 非理智的， 过分的
constraint	 n.  强制， 强迫； 对感情的压抑
mendicant	 adj. 行乞的 n.  乞丐
infect	 v.  传染； 使感染， 侵染； 污染
pleat	 n.  褶
extravagance	 n.  奢侈， 挥霍
infiltrate	 v.  渗透， 渗入
backslide	 v.  故态复萌
hostile	 adj.  敌对的， 敌意的
sanctum	 n.  圣所
irreversible	 adj.  不能撤回的， 不能取消的
celestial	 adj.  天体的， 天上的
crawl	 v.  爬， 爬行
plead	 v.  辩护； 恳求
abject	 adj.  极可怜的； 卑下的
monologue	 n.  独白； 长篇演说， 长篇大论
ambitious	 adj.  有抱负的， 雄心勃勃的
incontrovertible	 adj.  无可辩驳的， 不容置疑的
contemptuous	 adj.  鄙视的， 表示轻蔑的
paean	 n.  赞美歌， 颂歌
function	 v. 运行 n.  功能； 职责
grisly	 adj.  恐怖的， 可怕的
lap	 v.  舔食
pitcher	 n.  有柄水罐
revere	 v.  尊敬
pliant	 adj.  易受影响的； 易弯的
comparison	 n.  比较， 对照； 比喻
pomposity	 n.  自大的行为或言论
hatch	 v.  孵化； 策划 n. 船舱盖
revert	 v.  恢复， 回复到； 重新考虑
presupposition	 n.  预想， 臆测
roughen	 v.  变粗糙
ceremony	 n.  典礼， 仪式
gratification	 n.  满足， 喜悦
idyllic	 adj.  田园诗的
abdicate	 v.  退位； 放弃
long-winded	 adj.  冗长的
emanate	 v.  散发， 发出； 发源
attenuation	 n.  变瘦； 减少； 减弱
piercing	 adj.  冷得刺骨的； 敏锐的
censure	 v.  指责， 谴责 n. 指责，谴责
airtight	 adj.  密闭的， 不透气的
technique	 n.  技能， 方法， 手段
levy	 v.  征税； 征兵
intimidate	 v.  恐吓； 胁迫
quirk	 n.  奇事； 怪癖
generous	 adj.  慷慨的； 大量的
repressed	 adj.  被抑制的， 被压抑的
detrimental	 adj.  损害的， 造成伤害的
capitulate	 v.  投降
vicarious	 adj.  替代的， 代理的
rampage	 v.  乱冲乱跑 n.  狂暴行为
gander	 v.  闲逛 n. 雄鹅；笨人，傻瓜
investor	 n.  投资者
bemused	 adj.  茫然的， 困惑的
inflate	 v.  使充气， 使膨胀
remission	 n.  宽恕， 豁免
skirmish	 n.  小规模战斗， 小冲突
foment	 v.  煽动
equilibrium	 n.  平衡
sport	 v.  炫耀， 卖弄
barbarous	 adj.  野蛮的； 残暴的
cluster	 v.  群集， 丛生 n. 串，簇，群
prey	 n.  被捕食的动物； 受害者
attire	 v. 使穿衣；打扮 n.  盛装， 服装
glisten	 v.  闪烁， 闪耀
awe-inspiring	 adj.  令人敬畏的
circulate	 v.  循环； 流通； 发行
unfailing	 adj.  无尽的， 无穷的
resuscitate	 v.  使复活， 使苏醒
integrity	 n.  正直， 诚实； 完整
pact	 n.  协定， 条约
appreciative	 adj.  赞赏的； 感激的
quagmire	 n.  沼泽地； 困境
remittance	 n.  汇款
press	 v.  挤压
dock	 v.  剪短； 扣去
cargo	 n.  货物
panacea	 n.  万灵药
opulence	 n.  富裕； 丰富
exclaim	 v.  惊叫， 呼喊
pervious	 adj.  可渗透的， 可通过的
pack	 n.  兽群
mesmerism	 n.  催眠术， 催眠引导法
minutia	 n.  细枝末节， 琐事
untapped	 adj.  未开发的， 未利用的
beaded	 adj.  以珠装饰的， 珠状的
untamed	 adj.  未驯服的
supple	 adj.  柔软的， 灵活的； 柔顺的， 顺从的
horrendous	 adj.  可怕的， 令人恐惧的
bravado	 n.  故作勇敢， 虚张声势
polite	 adj.  文雅的， 有教养的
ardent	 adj.  热心的， 热烈的
distain	 v.  贬损， 伤害名誉
document	 v.  为…提供书面证明 n.  文件
rapport	 n.  融洽， 和谐
cohesive	 adj.  凝聚的
promote	 v.  提升； 促进
moody	 adj.  喜怒无常的； 抑郁的
emaciate	 v.  使瘦弱
graphic	 adj.  图表的； 生动的
clause	 n.  从句； 条款
empathy	 n.  同感， 移情； 全神贯注
fraught	 adj.  充满的
dodge	 v.  闪开， 躲避
consolidate	 v.  巩固； 加强； 合并
haughty	 adj.  傲慢的， 自大的
uncommunicative	 adj.  不爱说话的， 拘谨的
formative	 adj.  形成的； 影响发展的
vitalize	 v.  赋予生命， 使有生气
polish	 v. 磨光，擦亮 n.  上光剂； 优雅
optical	 adj.  视觉的； 光学的
menthol	 n.  薄荷醇
deterrent	 adj.  威慑的， 制止的
pestilential	 adj.  引起瘟疫的， 致命的； 〈口〉极讨厌的
detergent	 n.  清洁剂
rueful	 adj.  抱憾的； 后悔的， 悔恨的
prig	 n.  自命清高者， 道学先生
compile	 v.  汇集； 编辑
vitality	 n.  活力， 精力； 生命力
fume	 v. 发怒，愤怒；冒烟 n.  烟； 愤怒， 恼怒
bias	 v.  使有偏见 n. 偏见
somatic	 adj.  肉体的， 躯体的
ravenous	 adj.  饥饿的； 贪婪的
pullulate	 v.  繁殖； 充满
tension	 n.  紧张， 焦虑； 张力
tenuous	 adj.  纤细的； 稀薄的； 脆弱的， 无力的
doff	 v.  脱掉
opinionated	 adj.  固执己见的
ballad	 n.  歌谣， 小曲
caustic	 adj. 腐蚀性的；刻薄的 n.  腐蚀剂
verbal	 adj.  口头的； 言语的
merit	 v. 值得 n.  价值； 长处
precocious	 adj.  早熟的
pecuniary	 adj.  金钱的
unbend	 v.  变直； 轻松行事， 放松
cronyism	 n.  任人唯亲； 对好朋友的偏袒
district	 n.  地区； 行政区； 区域
predestine	 v.  预先注定
ventriloquist	 n.  口技表演者， 腹语表演者
contort	 v.  歪曲； 扭曲
impersonal	 adj.  不受个人感情影响的
inveigle	 v.  诱骗， 诱使
specter	 n.  鬼怪， 幽灵； 缠绕心头的恐惧， 凶兆
dogmatism	 n.  教条主义， 武断 being dogmatic)
inflame	 v.  使燃烧； 激怒
antiseptic	 adj.  防腐的 n.  杀菌剂
gangling	 adj.  瘦长得难看的
fealty	 n.  效忠， 忠诚
wheeze	 v.  喘息； 发出呼哧呼哧的声音
suspicion	 n.  怀疑， 嫌疑
purchase	 n.  支点
dogmatist	 n.  独断家， 独断论者
flaunt	 v.  炫耀， 夸耀
neutralize	 v.  使无效； 中和， 使中性
gravity	 n.  严肃， 庄重
marsupial	 n&adj.  有袋动物
funk	 n.  怯懦， 恐惧； 懦夫
incur	 v.  招惹
plump	 adj. 丰满的 v.  使丰满， 使变圆
tentatively	 adv.  试验性地
recoil	 v.  弹回， 反冲； 退却， 退缩
dilettante	 n.  一知半解者， 业余爱好者
pall	 v.  令人发腻， 失去吸引力
interactive	 adj.  交互式的
rubbery	 adj.  橡胶似的， 有弹性的)
ordeal	 n.  严峻的考验
eaglet	 n.  小鹰
complacent	 adj.  自满的， 得意的
plumb	 adv. 精确地 adj. 垂直的 v.  深入了解； 测量深度 n. 测深锤，铅锤
wispy	 adj.  纤细的； 脆弱的； 一缕缕的
truncate	 v.  截短， 缩短
vilify	 v.  诽谤， 中伤
premise	 n.  前提
colonize	 v.  建立殖民地， 拓殖； 定居， 居于
virtuosity	 n.  精湛技巧
mutable	 adj.  可变的； 易变的
controversial	 adj.  引起或可能引起争论的
unbecoming	 adj.  不合身的； 不得体的
intransigent	 adj.  不妥协的
imbecile	 n.  低能者， 弱智者， 极愚蠢的
reciprocation	 n.  互换； 报答； 往复运动
deputy	 n.  代表； 副手
bide	 v.  等待， 逗留
whimper	 v.  啜泣， 呜咽
judicial	 adj.  法庭的， 法官的
symptomatic	 adj.  有症状的
shuttle	 v.  穿梭移动， 往返运送
allocate	 v.  配给， 分配
muffle	 v.  消音； 裹住
abjure	 v.  发誓放弃
log	 v.  记录 n. 日志，记录；一段木头
enterprise	 n.  公司， 企业； 进取心
formation	 n.  组成， 形成； 编队， 排列
accidental	 adj.  偶然发生的
domineer	 v.  压制
lot	 v.  抽签； 划分 n. 签；命运
fuse	 v.  熔化； 融合
premium	 n.  保险费； 奖金
wholesale	 adj.  批发的； 大规模的
prop	 v.  支持 n. 支撑物，支柱
tumble	 v.  突然跌倒， 突然下跌； 倒塌
pane	 n.  窗格玻璃
pang	 n.  一阵剧痛
fuss	 n.  大惊小怪
depute	 v.  派…为代表或代理
sentinel	 n.  哨兵， 岗哨
prod	 v.  戳， 刺； 刺激， 激励
initial	 adj. 开始的，最初的 n.  首字母
incisive	 adj.  尖锐的， 深刻的
fury	 n.  狂怒， 狂暴； 激烈， 猛烈； 狂怒的人； 复仇女神
rudimentary	 adj.  初步的； 未充分发展的
postulate	 v.  要求； 假定
contemplation	 n.  注视； 凝视； 意图； 期望
overawe	 v.  威慑
miff	 n.  小争吵
infest	 v.  大批出没于， 骚扰； 寄生于
eternal	 adj.  永久的， 永恒的
redress	 n.  矫正， 修正
habituate	 v.  使习惯于
mien	 n.  风采， 态度
crumple	 v.  把…弄皱； 起皱； 破裂
plebeian	 adj.  平民的； 平庸的， 粗俗的 n. 平民
pleonastic	 adj.  冗言的
subtractive	 adj.  减法的； 负的
overpower	 v.  压倒
nutrient	 n.  营养品， 滋养物
recapitulate	 v.  扼要重述
unrepresentative	 adj.  没有代表性的
omniscient	 adj.  无所不知的， 博识的
improper	 adj.  不合适的， 不适当的
husband	 v.  节省， 节约
shrivel	 v.  枯萎
cyclone	 n.  气旋， 飓风
upsurge	 n.  高涨， 高潮
denote	 v.  指示， 表示
zone	 v.  分成区 n. 地区
renegade	 n.  叛教者， 叛徒
inappropriate	 adj.  不恰当的， 不适宜的
propagate	 v.  繁殖； 传播
orthodox	 adj.  正统的
unkempt	 adj.  蓬乱的， 未梳理的； 不整洁的， 乱糟糟的
adept	 adj.  熟练的， 擅长的
repute	 v. 认为，以为 n.  名声， 名誉
minutes	 n.  会议记录
amiable	 adj.  和蔼的， 亲切的
particularize	 v.  详述， 列举
particular	 n.  细节， 详情
fumble	 v.  摸索， 笨拙地搜寻； 弄乱， 搞糟
unseemly	 adj.  不适宜的， 不得体的
correlate	 v.  使相互关联； 使相互影响
overriding	 adj.  最主要的， 优先的
ample	 adj.  富足的； 充足的
numinous	 adj.  超自然的， 神的
cohesion	 n.  内聚力; 凝聚力
retrench	 v.  节省， 紧缩开支
unbidden	 adj.  未经邀请的
certitude	 n.  确定无疑
jealousy	 n.  嫉妒
radiant	 adj.  发光的； 容光焕发的
vibrancy	 n.  生机勃勃， 活泼
reproof	 n.  责备， 斥责
penetrate	 v.  刺穿； 渗入； 了解
expediency	 n.  方便； 权宜之计
