ability	 n. 能力，能耐；才能
news	 n. 新闻，消息；新闻报导
newspaper	 n. 报纸
next	 adv. 然后；下次；其次 adj. 下一个的；其次的；贴近的 n. 下一个 prep. 靠近；居于…之后
nice	 adj. 精密的；美好的；细微的；和蔼的 n. (Nice)人名；(英)尼斯
night	 n. 夜晚，晚上；黑暗，黑夜 adj. 夜晚的，夜间的
nine	 n. 九，九个 num. 九；九个 adj. 九的，九个的
nineteen	 num. 十九
ninety	 n. 九十 adj. 九十的；九十岁的 num. 九十
ninth	 num. 第九 adj. 第九的；九分之一的 n. 九分之一
no	 adv. 不 adj. 没有；不是 n. 不；否决票 abbr. 数字（number）；元素锘（nobelium）的符号
nobody	 pron. 无人，没有人；没有任何人 n. 无名小卒；小人物
nod	 n. 点头；打盹；摆动 v. 点头；点头表示
noise	 n. [环境] 噪音；响声；杂音 v. 谣传
none	 pron. 没有人；一个也没有；没有任何东西 adj. 没有的，一点没有的 adv. 决不，一点也不 n. (None)人名；(葡、罗)诺内；(日)野根(姓)
noodle	 n. 面条；笨蛋
noon	 n. 中午；正午；全盛期
nor	 conj. 也不；也不是 adv. 也不；也没有 n. (Nor)人名；(中)挪(广东话·威妥玛)；(马来、俄)诺尔；(柬)诺
normal	 adj. 正常的；正规的，标准的 n. 正常；标准；常态
north	 n. 北，北方 adj. 北方的；朝北的 adv. 在北方，向北方
northern	 adj. 北部的；北方的 n. 北部方言
nose	 n. 鼻子；嗅觉；突出的部分；探问 v. 嗅；用鼻子触
not	 adv. 表示否定，不 n. “非”（计算机中逻辑运算的一种）
note	 n. 笔记；音符；票据；注解；纸币；便笺；照会；调子 v. 注意；记录；注解
notebook	 n. 笔记本，笔记簿；手册
nothing	 neg. 没什么；毫不 n. 无；零；不关紧要之事 adv. 毫不；决不 pron. 无事；无物 int. 什么也没有
notice	 n. 通知，布告；注意；公告 v. 通知；注意到；留心
November	 n. 十一月
now	 adv. 现在；如今；立刻 adj. 现在的 n. 现在；目前 conj. 由于；既然
number	 n. 数；（杂志等的）期；号码；数字；算术 v. 计入；总数达到
nurse	 v. 看护，护理；照顾；培养；给…喂奶 n. 护士；奶妈，保姆
object	 n. 目标；物体；客体；宾语 v. 提出…作为反对的理由
October	 n. [天] 十月
of	 prep. 关于；属于；…的；由…组成的
off	 prep. 离开；脱落 adv. 切断；走开 adj. 远离的；空闲的
offer	 v. 提供；出价；试图 n. 提议；出价；意图；录取通知书
office	 n. 办公室；政府机关；官职；营业处
officer	 n. 军官，警官；公务员，政府官员；船长 v. 指挥
often	 adv. 常常，时常
oil	 n. 油；石油；油画颜料 v. 加油；涂油；使融化
OK	 adj. 好的；不错的 adv. 行；很好 int. 好；可以 v. 对…表示同意 n. 同意
old	 adj. 陈旧的，古老的；年老的 n. 古时
on	 adv. 向前地；作用中，行动中；继续着 prep. 向，朝……；关于；在……之上；在……时候 adj. 开着的；发生着的，正在进行中 n. (On)人名；(日)温(姓、名)；(缅、柬、印)翁
once	 adv. 一次；曾经 conj. 一旦 n. 一次，一回
one	 pron. 一个人；任何人 adj. 一的；唯一的 n. 一 num. 一；一个
oneself	 pron. 自己；亲自
only	 adv. 只，仅仅；不料 adj. 唯一的，仅有的；最合适的 conj. 但是；不过；可是
open	 adj. 公开的；敞开的；空旷的；坦率的；营业着的 v. 开始；展现 n. 公开；空旷；户外
operation	 n. 操作；经营；[外科] 手术；[数][计] 运算
or	 conj. 或，或者；还是 n. (Or)人名；(中)柯(广东话·威妥玛)；(柬)奥；(土、匈、土库、阿塞、瑞典)奥尔
orange	 adj. 橙色的；橘色的 n. 橙；橙色；桔子
order	 n. 命令；顺序；规则；[贸易] 定单 v. 命令；整理；定购
other	 adj. 其他的，另外的 pron. 另外一个
our	 pron. 我们的
ours	 pron. 我们的 n. (Ours)人名；(法)乌尔斯
ourselves	 pron. 我们自己；我们亲自
out	 adv. 出现；在外；出局；出声地；不流行地 adj. 外面的；出局的；下台的 n. 出局 prep. 向；离去 v. 出来；暴露
outside	 adj. 外面的，外部的；外来的 n. 外部；外观 adv. 在外面，向外面；在室外 prep. 在…范围之外
over	 adv. 结束；越过；从头到尾 prep. 越过；在…之上；遍于…之上 adj. 结束的；上面的 vt. 越过 n. (Over)人名；(俄、西、土)奥韦尔
overcoat	 n. 大衣，外套
own	 v. 拥有；承认 adj. 自己的；特有的 n. 自己的
owner	 n. [经] 所有者；物主
pacific	 adj. 和平的；温和的；平静的 n. 太平洋
package	 n. 包，包裹；套装软件，[计] 程序包 adj. 一揽子的 v. 打包；将…包装
page	 n. 页；记录；大事件，时期；男侍者 v. 给…标页码
paint	 v. 油漆；绘画；装饰；涂色于；描绘；（用语言，文字等）描写；擦脂粉等 n. 油漆；颜料，涂料；绘画作品；胭脂等化妆品；色彩，装饰
pair	 n. 一对，一双，一副 v. 把…组成一对
palace	 n. 宫殿；宅邸；豪华住宅
pancake	 n. 薄烤饼；粉饼；平降（全称pancake landing） vi. 平坠着陆；平展 vt. 使平坠著陆；使平展
panda	 n. 熊猫；猫熊
paper	 n. 纸；论文；文件；报纸 adj. 纸做的 v. 用纸糊；用纸包装
pardon	 n. 原谅；赦免；宽恕 v. 原谅；赦免；宽恕
parent	 n. 父亲（或母亲）；父母亲；根源
park	 n. 公园；[交] 停车场 v. 停放；放置；寄存
part	 n. 部分；角色；零件；一些；片段 v. 分离；分配；分开 adv. 部分地 adj. 部分的
party	 n. 政党，党派；聚会，派对；当事人 [复数 parties] v. 参加社交聚会 [ 过去式 partied 过去分词 partied 现在分词 partying ]
pass	 n. 及格；经过；护照；途径；传球 v. 经过；传递；变化；终止
passage	 n. 一段（文章）；走廊；通路
passenger	 n. 旅客；乘客；过路人；碍手碍脚的人
passport	 n. 护照，通行证；手段
past	 n. 过去；往事 adj. 过去的；结束的 prep. 越过；晚于 adv. 过；经过
path	 n. 道路；小路；轨道
patient	 adj. 有耐心的，能容忍的 n. 病人；患者
peace	 n. 和平；平静；和睦；秩序
pear	 n. [园艺] 梨树；梨子
pen	 n. 钢笔；作家；围栏 v. 写；关入栏中
pencil	 n. 铅笔；笔状物 v. 用铅笔写；用眉笔涂
people	 n. 人；人类；民族；公民 v. 居住于；使住满人
percent	 n. 百分比，百分率；部分；百分数 adj. 百分之…的 adv. 以百分之…地
perfect	 adj. 完美的；最好的；精通的 v. 使完美；使熟练 n. 完成式
perhaps	 adv. 或许；（表示不确定）也许；（用于粗略的估计）或许；（表示勉强同意或其实不赞成）也许；可能 n. 假定；猜想；未定之事
period	 n. 周期，期间；时期；月经；课时；（语法学）句点，句号 adj. 某一时代的
person	 n. 人；身体；容貌，外表；人称
personal	 adj. 个人的；身体的；亲自的 n. 人事消息栏；人称代名词
pet	 n. 宠物；生气；受宠爱的人 v. 宠爱 adj. 宠爱的
physics	 n. 物理学；物理现象
piano	 n. 钢琴
pick	 v. 挑选；采摘；挖 n. 选择；鹤嘴锄；挖；掩护
picnic	 n. 野餐 v. 去野餐
picture	 n. 照片，图画；影片；景色；化身 v. 画；想像；描写
pie	 n. 馅饼；饼图；爱说话的人 vt. 使杂乱
piece	 n. 块；件；篇；硬币 v. 修补；接合；凑合
pig	 n. 猪；猪肉 v. 生小猪；像猪一样过活
pilot	 n. 飞行员；领航员 adj. 试点的 v. 驾驶；领航；试用
pink	 n. 粉红色；化身，典范；石竹花；头面人物 v. 扎，刺，戳；使…变粉红色；使…面红耳赤 adj. 粉红的；比较激进的；石竹科的；脸色发红的
pioneer	 n. 先锋；拓荒者 v. 开辟；倡导；提倡
pity	 n. 怜悯，同情；遗憾 v. 对……表示怜悯；对……感到同情
place	 n. 地方；住所；座位 v. 放置；任命；寄予
plain	 adj. 平的；简单的；朴素的；清晰的 n. 平原；无格式；朴实无华的东西 adv. 清楚地；平易地
plan	 n. 计划；平面图 v. 计划；设计；打算
plane	 n. 飞机；平面；程度，水平 v. 刨；乘飞机旅行；翱翔 adj. 平的；平面的
planet	 n. 行星
plant	 n. 工厂，车间；植物；设备；庄稼 v. 种植；培养；栽培；安置
plastic	 adj. 塑料的；（外科）造型的；可塑的 n. 塑料制品；整形；可塑体
plate	 n. 碟；金属板；金属牌；感光底片 v. 电镀；给…装甲
play	 v. 游戏；扮演；演奏；播放；同…比赛 n. 游戏；比赛；剧本
playground	 n. 运动场，操场；游乐场
pleasant	 adj. 令人愉快的，舒适的；讨人喜欢的，和蔼可亲的 n. (Pleasant)人名；(英)普莱曾特
please	 v. 使喜欢；使高兴，使满意 int. 请（礼貌用语）
pleasure	 n. 快乐；希望；娱乐；令人高兴的事 vt. 使高兴；使满意 vi. 高兴；寻欢作乐
plenty	 n. 丰富，大量；充足 adj. 足够的，很多的 adv. 足够
pocket	 n. 口袋；钱；容器 v. 隐藏；忍受；将…放入衣袋 adj. 小型的，袖珍的；金钱上的
poem	 n. 诗
point	 n. 要点；得分；标点；[机] 尖端 v. 指向；弄尖；加标点于
police	 n. 警察，警方；治安 v. 监督；管辖；维持治安；为…配备警察 adj. 警察的；有关警察的
policy	 n. 政策，方针；保险单
polite	 adj. 有礼貌的，客气的；文雅的；上流的；优雅的
pond	 vt. 筑成池塘 vi. 筑成池塘 n. 池塘
pool	 n. 联营；撞球；水塘；共同资金 v. 联营，合伙经营
poor	 adj. 贫穷的；可怜的；贫乏的；卑鄙的 n. (Poor)人名；(英、伊朗)普尔
popular	 adj. 流行的，通俗的；受欢迎的；大众的；普及的
population	 n. 人口；[生物] 种群，[生物] 群体；全体居民
pork	 n. 猪肉 vt. 与女子性交
position	 n. 位置，方位；职位，工作；姿态；站位 v. 安置；把……放在适当位置
possible	 adj. 可能的；合理的；合适的 n. 可能性；合适的人；可能的事物
post	 n. 岗位；邮件；标杆 v. 张贴；公布；邮递；布置
postcard	 n. 明信片
postman	 n. 邮递员；邮差
potato	 n. [作物] 土豆，[作物] 马铃薯
pound	 n. 英镑；重击，重击声；兽栏；拘留所 v. 捣烂；敲打；监禁，拘留
practice	 n. 实践；练习；惯例 v. 练习；实习；实行
praise	 n. 赞扬；称赞；荣耀；崇拜 v. 赞美，歌颂；表扬
prepare	 v. 准备；使适合；装备；起草
present	 v. 提出；介绍；呈现；赠送 adj. 现在的；出席的 n. 现在；礼物；瞄准
president	 n. 总统；董事长；校长；主席
pretty	 adj. 漂亮的；可爱的；优美的 adv. 相当地；颇 n. 有吸引力的事物（尤指饰品）；漂亮的人
prevent	 v. 预防，防止；阻止
price	 n. 价格；价值；代价 v. 给……定价；问……的价格
pride	 n. 自豪；骄傲；自尊心 v. 使得意，以…自豪
primary	 adj. 主要的；初级的；基本的 n. 原色；最主要者
print	 n. 印刷业；印花布；印刷字体；印章；印记 v. 印刷；打印；刊载；用印刷体写；在…印花样
prison	 n. 监狱；监禁；拘留所 vt. 监禁，关押
prisoner	 n. 囚犯，犯人；俘虏；刑事被告
private	 adj. 私人的；私有的；私下的 n. 列兵；二等兵
prize	 n. 奖品；奖赏；战利品 v. 珍视；捕获；估价 adj. 获奖的
problem	 n. 难题；引起麻烦的人 adj. 成问题的；难处理的
produce	 v. 生产；引起；创作；生育，繁殖 n. 农产品，产品
progress	 n. 进步，发展；前进 v. 前进，进步；进行
promise	 n. 许诺，允诺；希望 v. 允诺，许诺；给人以…的指望或希望
pronounce	 v. 发音；宣判；断言
pronunciation	 n. 发音；读法
proper	 adj. 适当的；本身的；特有的；正派的 adv. 完全地 n. (Proper)人名；(英、德)普罗珀
protect	 v. 保护，防卫；警戒
proud	 adj. 自豪的；得意的；自负的 n. (Proud)人名；(英)普劳德
prove	 v. 证明；检验；显示
provide	 v. 提供；规定；准备；装备
public	 adj. 公众的；政府的；公用的；公立的 n. 公众；社会；公共场所
pull	 v. 拉；拔；拖 n. 拉，拉绳；拉力，牵引力；拖
punish	 v. 惩罚；严厉对待；贪婪地吃喝
pupil	 n. 学生；[解剖] 瞳孔；未成年人
purple	 adj. 紫色的；帝王的；华而不实的 n. 紫色；紫袍 v. 变成紫色
purse	 n. (女士)手提袋；(国家、家庭、团体等的) 财力 v. （嘴巴）皱起，使缩拢；撅嘴
push	 v. 推动，增加；对…施加压力，逼迫；按；说服 n. 推，决心；大规模攻势；矢志的追求
quarter	 n. 四分之一；地区；季度；一刻钟；两角五分；节 v. 住宿；驻扎 num. 四分之一
queen	 n. 女王，王后；（纸牌中的）皇后；（蜜蜂等的）蜂王 v. 使…成为女王或王后
question	 n. 问题，疑问；询问；疑问句 v. 询问；怀疑；审问
quick	 n. 核心；伤口的嫩肉 adj. 快的；迅速的，敏捷的；灵敏的 adv. 迅速地，快
quiet	 adj. 安静的；安定的；不动的；温顺的 n. 安静；和平 v. 使平息；安慰
quite	 adv. 很；相当；完全
rabbit	 n. 兔子，野兔 v. 让…见鬼去吧
race	 n. 属，种；种族，人种；家庭，门第 v. 使参加比赛；和…竞赛；使急走，使全速行进
radio	 n. 收音机；无线电广播设备 v. 用无线电进行通信
railway	 n. （英）铁路；轨道；铁道部门 vi. 乘火车旅行
rain	 n. 雨；下雨；雨天；雨季 v. 下雨；降雨
raincoat	 n. （美）雨衣
rainy	 adj. 下雨的；多雨的 n. (Rainy)人名；(英)雷尼
raise	 v. 提高；筹集；养育；升起 n. 高地；上升；加薪
rapid	 adj. 迅速的，急促的；飞快的；险峻的 n. 急流；高速交通工具，高速交通网
rat	 n. 鼠；卑鄙小人，叛徒 v. 捕鼠；背叛，告密
rather	 adv. 宁可，宁愿；相当 int. 当然啦（回答问题时用） n. (Rather)人名；(英)拉瑟
reach	 v. 达到；延伸；伸出手；传开 n. 范围；延伸；河段；横风行驶
ready	 adj. 准备好；现成的；迅速的；情愿的；快要…的 n. 现款；预备好的状态 adv. 迅速地；预先 v. 使准备好
real	 adj. 实际的；真实的；实在的 adv. 真正地；确实地 n. 现实；实数
receive	 v. 收到；接待；接纳
recent	 adj. 最近的；近代的
recite	 v. 背诵；叙述；列举
record	 v. 记录，记载；标明；将录音 n. 档案，履历；唱片；最高纪录 adj. 创纪录的
recorder	 n. 录音机；记录器；记录员；八孔直笛
red	 n. 红色，红颜料；赤字 adj. 红色的；红肿的，充血的
refuse	 n. 垃圾；废物 v. 拒绝；不愿；抵制
regard	 n. 注意；尊重；问候；凝视 v. 注重，考虑；看待；尊敬；把…看作；与…有关
regret	 n. 遗憾；抱歉；悲叹 v. 后悔；惋惜；哀悼
relation	 n. 关系；叙述；故事；亲属关系
relax	 v. 放松，休息；松懈，松弛；变从容；休养
remain	 v. 保持；依然；留下；剩余；逗留；残存 n. 遗迹；剩余物，残骸
remember	 v. 记得；牢记；纪念；代…问好
repair	 v. 修理；修复 n. 修理，修补；修补部位
repeat	 v. 重复；复制；背诵 n. 重复；副本
reply	 v. 回答；[法] 答辩；回击 n. 回答；[法] 答辩
report	 n. 报告；报道；成绩单 v. 报告；报导；使报到
require	 v. 需要；要求；命令
research	 n. 研究；调查 v. 研究；调查
rest	 v. 使休息，使轻松；把…寄托于 n. 休息，静止；休息时间；剩余部分；支架
restaurant	 n. 餐馆；[经] 饭店
result	 n. 结果；成绩；答案；比赛结果 v. 结果；导致；产生
retell	 v. 复述；再讲；重述
return	 v. 返回；报答 n. 返回；归还；回球 adj. 报答的；回程的；返回的
review	 n. 回顾；复习；评论；检讨；检阅 v. 回顾；检查；复审
rice	 n. 稻；米饭 v. 把…捣成米糊状
rich	 adj. 富有的；肥沃的；昂贵的 n. (Rich)人名；(丹)里克；(捷)里赫；(英、西)里奇；(葡、法)里什
riddle	 v. 解谜；给出谜；充满于 n. 谜语；粗筛；谜一般的人、东西、事情等
right	 adj. 正确的；直接的；右方的 v. 复正；恢复平稳 n. 正确；右边；正义 adv. 正确地；恰当地；彻底地
risk	 n. 风险；危险；冒险 v. 冒…的危险
river	 n. 河，江
road	 n. 公路，马路；道路；手段 vt. （狗）沿臭迹追逐（猎物） adj. （美）巡回的
robot	 n. 机器人；遥控设备，自动机械；机械般工作的人
rock	 n. 岩石；摇滚乐；暗礁 v. 摇动；使摇晃
role	 n. 角色；任务
room	 n. 房间；空间；余地；机会；房间里所有的人 v. 为…提供住处；租房，合住；投宿，住宿；留…住宿
rope	 n. 绳，绳索 v. 捆，绑
rose	 n. 玫瑰；粉红色；蔷薇（花）；粉红色的葡萄酒 adj. 玫瑰花的；玫瑰色的；粉红色的；带有玫瑰香味的 vt. 使成玫瑰色，使（面颊）发红；使有玫瑰香味 vi. 起义( rise的过去式)；升起；（数量）增加；休会
round	 n. 圆；循环；一回合；圆形物 adj. 圆的；完全的；大概的；肥胖的 adv. 在周围；迂回地；朝反方向；挨个 v. 完成；围捕；绕行；弄圆 prep. 附近；绕过；大约；在…周围
row	 n. 行，排；划船；街道；吵闹 v. 划船；使……成排
rubber	 n. 橡胶；橡皮；合成橡胶；按摩师 adj. 橡胶制成的 v. 涂橡胶于；用橡胶制造
rubbish	 n. 垃圾，废物；废话 adj. 毫无价值的
rule	 v. 统治；管辖；裁定 n. 统治；规则
ruler	 n. 尺；统治者；[测] 划线板，划线的人
rush	 n. 冲进；匆促；急流；灯心草 adj. 急需的 v. 使冲；突袭；匆忙地做；飞跃
Rusia	 鲁西亚（地名）
Russian	 adj. 俄国的；俄语的 n. 俄语；俄国人
sad	 adj. 难过的；悲哀的，令人悲痛的；凄惨的，阴郁的（形容颜色）
safe	 adj. 安全的；可靠的；平安的 n. 保险箱；冷藏室；纱橱
safety	 n. 安全；保险；安全设备；保险装置；安打
sail	 v. 航行；启航，开船 n. 帆，篷；航行
salad	 n. 色拉；尤指莴苣
sale	 n. 销售；出售；拍卖；销售额；廉价出售
salt	 n. 盐；风趣，刺激性 adj. 咸水的；含盐的，咸味的；盐腌的；猥亵的 v. 用盐腌；给…加盐；将盐撒在道路上使冰或雪融化
same	 adj. 相同的；同一的；上述的（通常与the连用）；无变化的 pron. 同样的事物或人（通常与the连用） adv. 同样地（通常与the连用） n. (Same)人名；(意)萨梅
sand	 n. 沙；沙地；沙洲；沙滩；沙子 v. 撒沙于；以沙掩盖；用砂纸等擦平或磨光某物；使撒沙似地布满；给…掺沙子
sandwich	 v. 夹入；挤进；把做成三明治 n. 三明治；夹心面包
Saturday	 n. 星期六
sausage	 n. 香肠；腊肠；装香肠的碎肉
save	 v. 节省；保存；储蓄；解救 prep. 除之外 n. 救援
scarf	 n. 围巾；嵌接，嵌接处；头巾领巾 v. 披嵌接；用围巾围
school	 n. 学校；学院；学派；鱼群 v. 教育
schoolbag	 n. 书包
science	 n. 科学；技术；学科；理科
scientist	 n. 科学家
score	 n. 分数；二十；配乐；刻痕 v. 获得；评价；划线，刻划；把…记下
screen	 n. 屏，幕；屏风 v. 筛；拍摄；放映；掩蔽
sea	 n. 海；海洋；许多；大量
search	 v. 搜寻；调查；探求 n. 搜寻；探究，查究
season	 n. 时期；季节；赛季 v. 给…调味；使适应
seat	 n. 座位；所在地；职位 v. 使…坐下；可容纳…的；使就职
second	 n. 秒；第二名；瞬间；二等品 v. 支持 adj. 第二的；次要的；附加的 num. 第二 adv. 第二；其次；居第二位
secret	 n. 秘密；秘诀；机密 adj. 秘密的；机密的
secretary	 n. 秘书；书记；部长；大臣
seem	 v. 似乎；像是；装作 n. (Seem)人名；(英)西姆
seldom	 adv. 很少，不常
sense	 n. 感觉，功能；观念；道理；理智 v. 感觉到；检测
sentence	 n. [语][计] 句子，命题；宣判，判决 v. 判决，宣判
separate	 v. 使分离；使分开；使分居 adj. 单独的；分开的；不同的；各自的； n. 分开；抽印本
September	 n. 九月
serious	 adj. 严肃的，严重的；认真的；庄重的；危急的
servant	 n. 仆人，佣人；公务员；雇工
service	 n. 服务，服侍；服役；仪式 adj. 服务性的；耐用的；服现役的 v. 维修，检修；保养
seven	 num. 七个，七 n. 七个，七 adj. 七的；七个的
seventeen	 n. 十七，十七个 adj. 十七岁的；十七的，十七个的 num. 十七
seventh	 n. 第七；七分之一 adj. 第七的；七分之一的 adv. 居第七位地
seventy	 n. 七十；七十个；七十岁；七十年代 adj. 七十的；七十个的；七十岁的 num. 七十
several	 adj. 几个的；各自的 pron. 几个；数个
shame	 n. 羞耻，羞愧；憾事，带来耻辱的人 v. 使丢脸，使羞愧
shape	 n. 形状；模型；身材；具体化 v. 形成；塑造，使成形；使符合
share	 v. 分享，分担；分配 n. 份额；股份
she	 pron. 她（主格）；它（用来指雌性动物或国家、船舶、地球、月亮等） n. 女人；雌性动物
ship	 v. 运送，乘船；以船运送 n. 船；舰；太空船
shirt	 n. 衬衫；汗衫，内衣
shoe	 n. 鞋；蹄铁；外胎 v. 给……穿上鞋；穿……鞋
shop	 n. 商店；店铺 v. 购物
short	 adj. 短的；不足的；矮的，低的 n. 短；缺乏；短路；短裤 adv. 不足；突然；唐突地
shorts	 n. 短裤
should	 aux. 应该；就；可能；将要
shoulder	 n. 肩，肩膀；肩部 v. 肩负，承担
shout	 v. 呼喊；喊叫；大声说 n. 呼喊；呼叫
show	 v. 显示；说明；演出；展出 n. 显示；表演；炫耀
shower	 n. 淋浴；（倾泻般出现的）一阵，一大批；阵雨 v. 大量地给予；把……弄湿
shy	 adj. 害羞的；畏缩的，胆怯的 v. 投；畏缩；惊退；厌恶 n. 投掷；惊跳
sick	 adj. 厌恶的；病态的；不舒服；渴望的；恶心的 ；生病的 n. 病人 v. 使狗去咬；呕吐；追击
side	 n. 方面；侧面；旁边 v. 支持；赞助；偏袒 adj. 旁的，侧的
sight	 n. 视力；景象；眼界；见解 v. 看见；瞄准 adj. 见票即付的；即席的
silence	 n. 沉默；寂静；缄默；不谈；无声状态 v. 使沉默；使安静；压制；消除噪音 int. 安静！；别作声！
silent	 adj. 沉默的；寂静的；无记载的 n. 无声电影
silk	 n. 丝绸；蚕丝；丝织物 adj. 丝的；丝绸的；丝制的 vi. （玉米）处于长须的阶段中
silly	 adj. 愚蠢的；不明事理的；没头脑的 n. 傻瓜
similar	 adj. 相似的 n. 类似物
simple	 adj. 简单的；单纯的；天真的 n. 笨蛋；愚蠢的行为；出身低微者
since	 conj. 因为；由于；既然；自…以来；自…以后 prep. 自…以来；自…以后 adv. 后来
single	 adj. 单一的；单身的；单程的 n. 一个；单打；单程票 v. 选出
sir	 n. 先生；（用于姓名前）爵士；阁下；（中小学生对男教师的称呼）先生；老师
sister	 n. 姐妹；（称志同道合者）姐妹；修女；护士 adj. 姐妹般的；同类型的
situation	 n. 情况；形势；处境；位置
six	 num. 六，六个 n. 六，六个
sixteen	 adj. 十六的，十六个的 num. 十六
sixth	 n. 月的第六日，（与the连用的）第六个；六分之一 adj. （与 the 连用）第六的，第六个的；六分之一的
sixty	 num. 六十；六十个
size	 n. 大小；尺寸 adj. 一定尺寸的 v. 依大小排列
skate	 v. 滑冰；滑过 n. 溜冰；冰鞋
skill	 n. 技能，技巧；本领，技术
skirt	 n. 裙子 v. 绕过，回避；位于…边缘
sky	 n. 天空；顶点 v. 把…投向空中；把…挂得过高
sleepy	 adj. 欲睡的；困乏的；不活跃的
slow	 adj. 慢的；减速的；迟钝的 v. 变慢；变萧条 adv. 慢慢地；迟缓地 n. (Slow)人名；(英)斯洛
small	 adj. 少的，小的；微弱的；几乎没有的；不重要的；幼小的 adv. 小小地；卑鄙地 n. 小件物品；矮小的人
smart	 adj. 聪明的；巧妙的；敏捷的；厉害的；潇洒的；剧烈的；时髦的 n. (Smart)人名；(法)斯马尔；(英、德)斯马特
smile	 v. 微笑 n. 微笑；笑容；喜色
smoke	 n. 烟；抽烟；无常的事物 v. 冒烟，吸烟；抽烟；弥漫
smooth	 adj. 顺利的；光滑的；平稳的 v. 使光滑；消除（障碍等）；使优雅；缓和 n. 平滑部分；一块平地 adv. 光滑地；平稳地；流畅地
snake	 n. 蛇；阴险的人 v. 迂回前进
snow	 n. 雪，积雪；下雪 v. 降雪
snowy	 adj. 下雪的，多雪的；被雪覆盖的；洁白无瑕的
so	 adv. 如此，这么；确是如此 conj. 所以；因此 pron. 这样 n. (So)人名；(柬)索
soap	 n. 肥皂 v. 将肥皂涂在……上；对……拍马屁（俚语）
social	 adj. 社会的，社交的；群居的 n. 联谊会；联欢会
society	 n. 社会；交往；社团；社交界
socks	 n. 袜子（sock的复数）
sofa	 n. 沙发；长椅
soft	 adj. 软的，柔软的；温柔的，温和的；软弱的；笨的 adv. 柔软地；温和地 n. 柔性；柔软的东西；柔软部分
soldier	 n. 军人；[昆] 兵蚁；懒汉；一片烤面包 v. 当兵；磨洋工；坚持干；假称害病
solid	 adj. 固体的；可靠的；立体的；结实的；一致的 n. 固体；立方体
some	 adj. 一些；某个；大约；相当多的 pron. 一些；若干；其中的一部分；（数量不确切时用）有些人 adv. 非常；相当；<美>稍微
somebody	 n. 大人物；重要人物 pron. 有人；某人
someone	 pron. 有人，某人
something	 pron. 某事；某物 n. 重要的人；值得重视的事 adv. 非常；有点；大约 adj. 大约；有点象
sometimes	 adv. 有时，间或
somewhere	 adv. 在某处；到某处 n. 某个地方
son	 n. 儿子；孩子（对年轻人的称呼）；男性后裔
song	 n. 歌曲；歌唱；诗歌；鸣声
soon	 adv. 快；不久，一会儿；立刻；宁愿
sorry	 adj. 遗憾的；对不起的，抱歉的 int. 对不起，抱歉（表示委婉的拒绝等）
sort	 n. 种类；方式；品质 v. 分类；协调；交往
sound	 v. 听（诊）；测量，测…深；使发声；试探；宣告 n. 声音，语音；噪音；海峡；吵闹；听力范围；[医] 探条 adj. 健全的，健康的；合理的；可靠的；有效彻底的 adv. 彻底地，充分地
soup	 n. 汤，羹；马力 v. 加速；增加马力
sour	 adj. 酸的；发酵的；刺耳的；酸臭的；讨厌的 v. 发酵；变酸；厌烦 n. 酸味；苦事
south	 n. 南方，南边；南部 adv. 在南方，向南方 adj. 南的，南方的
southern	 adj. 南的；南方的 n. 南方人
space	 n. 空间；太空；距离 v. 留间隔
speaker	 n. 演讲者；扬声器；说话者；说某种语言的人
special	 n. 特使，特派人员；特刊；特色菜；专车；特价商品 adj. 特别的；专门的，专用的
speech	 n. 演讲；讲话；[语] 语音；演说
speed	 v. 超速，加速；加速，迅速前行；兴隆 n. 速度，速率；迅速，快速；昌盛，繁荣
spirit	 n. 精神；心灵；情绪；志气；烈酒 v. 鼓励；鼓舞；诱拐
spoon	 n. 匙，勺子；一杓的量 v. 用匙舀；使成匙状
spring	 n. 春天；弹簧；泉水；活力；跳跃 adj. 春天的 v. 生长；涌出；跃出；裂开
square	 adj. 平方的；正方形的；直角的；正直的 v. 使成方形；与…一致 n. 平方；广场；正方形 adv. 成直角地
stairs	 n. 楼梯；梯级（stair的复数）
stamp	 n. 邮票；印记；标志；跺脚 v. 铭记；标出；盖章于…；贴邮票于…；用脚踩踏
standard	 n. 标准；水准；旗；度量衡标准 adj. 标准的；合规格的；公认为优秀的
start	 v. 开始；启动 n. 开始；起点
state	 n. 国家；州；情形 v. 规定；声明；陈述 adj. 国家的；州的；正式的
station	 n. 车站；驻地；地位；身份 v. 配置；安置；驻扎
stay	 v. 停留；坚持；暂住；停下 n. 逗留；停止；支柱
steam	 v. 蒸，散发；用蒸汽处理 n. 蒸汽；精力 adj. 蒸汽的
steel	 n. 钢铁；钢制品；坚固 v. 钢化；使冷酷 adj. 钢制的；钢铁业的；坚强的
step	 n. 步，脚步；步骤；步伐；梯级 v. 踏，踩；走
still	 adv. 仍然；更；静止地 adj. 静止的，不动的；寂静的，平静的；不起泡的 n. 寂静；剧照；蒸馏室 conj. 仍然；但是；尽管如此 v. 蒸馏；使…静止；使…平静下来
stomach	 n. 胃；腹部；胃口 v. 忍受；吃下
stone	 n. 石头；结石；[宝] 宝石 adj. 石的，石制的 v. 向扔石块；用石头铺
stop	 v. 停止；堵塞；断绝 n. 停止；车站；障碍；逗留
store	 n. 商店；储备，贮藏；仓库 v. 贮藏，储存
storm	 n. 暴风雨；大动荡 v. 起风暴；横冲直撞；狂怒咆哮
